"1001","3","2025-04-10","2025-04-20","0000-00-00"
"1002","5","2025-04-01","2025-04-15","2025-04-14"
"1003","4","2025-03-20","2025-04-05","0000-00-00"
"1004","13","2024-10-03","2024-10-19","0000-00-00"
"1005","37","2025-02-10","2025-02-23","2025-02-23"
"1006","34","2024-07-10","2024-08-01","2024-08-01"
"1007","82","2025-03-18","2025-04-16","0000-00-00"
"1008","94","2024-09-06","2024-09-14","2024-09-14"
"1009","86","2025-03-08","2025-03-17","0000-00-00"
"1010","11","2025-03-08","2025-03-30","0000-00-00"
"1011","92","2025-03-16","2025-04-15","2025-04-15"
"1012","93","2024-06-07","2024-06-23","2024-06-23"
"1013","83","2024-08-03","2024-08-13","2024-08-13"
"1014","30","2024-05-05","2024-05-14","2024-05-14"
"1015","20","2025-02-28","2025-03-10","2025-03-10"
"1016","86","2024-09-05","2024-09-26","2024-09-26"
"1017","97","2024-05-07","2024-05-26","0000-00-00"
"1018","6","2024-09-17","2024-10-15","2024-10-15"
"1019","71","2024-07-09","2024-07-17","2024-07-17"
"1020","69","2025-01-27","2025-02-22","0000-00-00"
"1021","55","2024-10-22","2024-11-09","0000-00-00"
"1022","25","2024-12-02","2024-12-26","2024-12-26"
"1023","77","2024-06-03","2024-06-23","0000-00-00"
"1024","87","2024-10-16","2024-11-03","2024-11-03"
"1025","96","2025-01-20","2025-01-28","2025-01-28"
"1026","11","2024-11-16","2024-11-24","0000-00-00"
"1027","87","2024-11-18","2024-11-28","2024-11-28"
"1028","44","2024-05-11","2024-05-19","0000-00-00"
"1029","105","2025-01-31","2025-02-26","2025-02-26"
"1030","6","2024-06-13","2024-07-12","2024-07-12"
"1031","97","2024-09-12","2024-09-27","0000-00-00"
"1032","2","2025-02-15","2025-03-16","2025-03-16"
"1033","51","2024-12-31","2025-01-22","2025-01-22"
"1034","64","2024-12-05","2024-12-18","2024-12-18"
"1035","65","2025-01-13","2025-02-07","0000-00-00"
"1036","64","2025-03-20","2025-04-17","0000-00-00"
"1037","34","2025-01-04","2025-01-13","0000-00-00"
"1038","41","2025-01-03","2025-02-02","2025-02-02"
"1039","6","2024-08-05","2024-08-28","2024-08-28"
"1040","30","2024-04-27","2024-05-09","2024-05-09"
